/vehicle/sensor/steering_report [1723106158314706680]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=133006329), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158324658391]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=143021504), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158334787046]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=153019701), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158344892353]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=163027104), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158354600606]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=173007592), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158382568779]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=183007387), steering_tire_angle=0.003455755300819874)
/vehicle/sensor/steering_report [1723106158384798357]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=193013168), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106158386443967]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=203016635), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158394684843]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=213011376), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158404693148]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=223013589), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158414783182]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=233009066), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158424876286]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=243020381), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158434894724]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=253011894), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106158444703149]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=263015235), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158454895489]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=273014841), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158464661674]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=283007504), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158474701454]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=293036969), steering_tire_angle=0.003455755300819874)
/vehicle/sensor/steering_report [1723106158484672360]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=303014046), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158494904549]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=313017249), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158504648744]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=323008881), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158514779589]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=333005130), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158524704878]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=343020352), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158534727895]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=353014981), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158544759604]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=363010928), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158554795419]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=373016569), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158564685699]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=383016931), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158574708871]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=393017144), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158603503516]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=403018808), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158605854511]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=413006847), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106158607065515]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=423009941), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158614812010]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=433013584), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106158624847960]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=443024651), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158634745728]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=453014644), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158644546870]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=463017813), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158654560253]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=473019476), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158664957926]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=483011377), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106158674807624]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=493015447), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158684795505]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=503007147), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158694673592]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=513014465), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158704654742]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=523010626), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158714700415]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=533014636), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158724746589]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=543014765), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158734776387]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=553026160), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106158744959842]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=563020326), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106158754689003]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=573011922), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158764856040]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=583025910), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158774992543]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=593023756), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158784802536]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=603019000), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158794791552]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=613016254), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158823621079]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=623015154), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158826158097]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=633016239), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158831192563]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=643021638), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158834909609]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=653009977), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158845178602]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=663011562), steering_tire_angle=0.0)
/vehicle/sensor/steering_report [1723106158854794688]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=673014758), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106158864727162]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=683018455), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158874916488]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=693016601), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158884905671]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=703022139), steering_tire_angle=0.0)
/vehicle/sensor/steering_report [1723106158894846885]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=713015324), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158904651208]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=723011789), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106158914729954]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=733011147), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158924556542]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=743020093), steering_tire_angle=0.0)
/vehicle/sensor/steering_report [1723106158934893243]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=753020602), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158944773221]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=763020171), steering_tire_angle=0.0)
/vehicle/sensor/steering_report [1723106158955344832]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=773007696), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106158964810574]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=783018018), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106158976526814]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=793020110), steering_tire_angle=0.0)
/vehicle/sensor/steering_report [1723106158984755060]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=803021281), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106158994815419]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=813008862), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106159004635375]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=823012948), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106159014699692]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=833011936), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106159036616036]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=843037911), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106159040894012]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=853010637), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106159044954122]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=863014913), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106159054732101]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=873012650), steering_tire_angle=0.0)
/vehicle/sensor/steering_report [1723106159064646768]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=883014966), steering_tire_angle=0.0)
/vehicle/sensor/steering_report [1723106159074570737]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=893050140), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106159084680449]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=903013334), steering_tire_angle=0.0)
/vehicle/sensor/steering_report [1723106159094614774]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=913014139), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106159104612529]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=923009836), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106159114675272]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=933006334), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106159124956390]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=943039838), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106159134935256]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=953020088), steering_tire_angle=0.0028797960840165615)
/vehicle/sensor/steering_report [1723106159144920635]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=963016179), steering_tire_angle=0.0028797960840165615)
